period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base
validation,z,tau,15m,G-raw-30m,209550,366,0.080169,0.078763,0.081608,0.26601,0.26092,0.27118,-0.0053413,-0.0065962,-0.0039883,-0.0010244,-0.0011707,-0.00088226,-0.00013839,G-raw-2h
validation,z,tau,10m,G-raw-30m,209550,366,0.079727,0.078331,0.080962,0.26451,0.25964,0.26917,-0.0053652,-0.0065992,-0.0041077,-0.00098766,-0.0011308,-0.00084034,0.0015128,G-raw-2h
validation,z,tau,5m,G-raw-30m,209550,366,0.075787,0.074467,0.077111,0.25133,0.2467,0.25578,-0.0064075,-0.0074185,-0.0054056,-0.0012039,-0.0013503,-0.0010611,0.00042472,G-raw-2h
validation,z,tau,3m,G-raw-30m,209550,366,0.073725,0.072431,0.075008,0.24453,0.24025,0.24881,-0.0068483,-0.0078302,-0.0059683,-0.0012687,-0.001413,-0.0011174,0.0009592,G-raw-2h
validation,z,tau,2m,G-raw-30m,209550,366,0.073001,0.071725,0.074265,0.24379,0.23941,0.24813,-0.0071078,-0.0082483,-0.0059004,-0.0013706,-0.0015214,-0.0012189,0.00045812,G-raw-2h
validation,z,tau,60m,G-raw-2h,209550,366,0.087211,0.085537,0.088892,0.29361,0.2877,0.29948,0,0,0,0,0,0,0.0027869,G-raw-2h
validation,z,tau,45m,G-raw-2h,209550,366,0.0862,0.084509,0.087795,0.2888,0.28291,0.29456,0,0,0,0,0,0,0.0014984,G-raw-2h
validation,z,tau,30m,G-raw-2h,209550,366,0.084977,0.083479,0.08654,0.28511,0.27966,0.29068,0,0,0,0,0,0,-0.0020425,G-raw-2h
validation,z,tau,20m,G-raw-2h,209550,366,0.080661,0.079225,0.082047,0.27118,0.2663,0.27616,0,0,0,0,0,0,0.00073968,G-raw-2h
validation,z,tau,15m,G-raw-2h,209550,366,0.081193,0.079775,0.082651,0.27135,0.26659,0.27627,0,0,0,0,0,0,-0.00013839,G-raw-2h
validation,z,tau,10m,G-raw-2h,209550,366,0.080715,0.07932,0.081941,0.26988,0.26517,0.27422,0,0,0,0,0,0,0.0015128,G-raw-2h
validation,z,tau,5m,G-raw-2h,209550,366,0.076991,0.075647,0.078319,0.25773,0.25325,0.26209,0,0,0,0,0,0,0.00042472,G-raw-2h
validation,z,tau,3m,G-raw-2h,209550,366,0.074994,0.073699,0.07622,0.25138,0.24722,0.25535,0,0,0,0,0,0,0.0009592,G-raw-2h
validation,z,tau,2m,G-raw-2h,209550,366,0.074371,0.0731,0.075609,0.2509,0.24666,0.25525,0,0,0,0,0,0,0.00045812,G-raw-2h
validation,z,tau,60m,G-raw-6h,209550,366,0.088457,0.086927,0.09002,0.29963,0.29391,0.30527,0.0060187,0.0046627,0.0074427,0.0012456,0.00099366,0.0015127,0.0027869,G-raw-2h
validation,z,tau,45m,G-raw-6h,209550,366,0.087551,0.085979,0.089029,0.2959,0.29003,0.30124,0.0070904,0.0057288,0.0084378,0.0013512,0.0011171,0.0016025,0.0014984,G-raw-2h
validation,z,tau,30m,G-raw-6h,209550,366,0.086447,0.085,0.087887,0.29251,0.28727,0.29798,0.0073995,0.0060869,0.0087238,0.0014704,0.0012334,0.0017168,-0.0020425,G-raw-2h
validation,z,tau,20m,G-raw-6h,209550,366,0.082324,0.08096,0.08364,0.2798,0.27492,0.28454,0.0086226,0.0072895,0.009935,0.0016623,0.0014189,0.0019161,0.00073968,G-raw-2h
