period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,layout
validation,z,tau,3m,G-blend,209550,366,0.072789,0.071458,0.074116,0.24118,0.23646,0.24596,0.002158,0.0015218,0.0028102,0.00034055,0.00023407,0.00044786,0.0009592,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,2m,G-blend,209550,366,0.071901,0.070532,0.073213,0.24025,0.23532,0.24515,0.0031609,0.0023532,0.0040613,0.0004209,0.00031085,0.00054228,0.00045812,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,60m,T-blend,209550,366,0.085739,0.083995,0.087538,0.28292,0.27728,0.28858,-0.0032968,-0.0041127,-0.0024395,-0.00051758,-0.00064018,-0.00039995,0.0027869,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,45m,T-blend,209550,366,0.084778,0.083007,0.086458,0.27903,0.27349,0.28443,-0.0025986,-0.0032637,-0.0018951,-0.00040155,-0.00049628,-0.0003026,0.0014984,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,30m,T-blend,209550,366,0.083509,0.081896,0.085113,0.27482,0.26969,0.28001,-0.0020767,-0.00261,-0.0015484,-0.00027887,-0.00035512,-0.0002028,-0.0020425,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,20m,T-blend,209550,366,0.078822,0.077329,0.080344,0.26081,0.25583,0.2657,-0.00065524,-0.0010283,-0.00025971,-7.5711e-05,-0.0001364,-1.3004e-05,0.00073968,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,15m,T-blend,209550,366,0.079599,0.078146,0.081117,0.26179,0.25694,0.26689,-0.00037769,-0.00073909,-7.7557e-06,-5.5164e-05,-0.00010709,-1.9803e-06,-0.00013839,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,10m,T-blend,209550,366,0.079069,0.077609,0.080365,0.26026,0.25556,0.26481,-0.00023873,-0.00049587,1.722e-05,-4.635e-05,-8.6032e-05,-7.1738e-06,0.0015128,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,5m,T-blend,209550,366,0.074781,0.073286,0.076201,0.24633,0.2416,0.25091,-0.00015883,-0.00040881,6.9321e-05,-2.7364e-05,-6.3506e-05,6.894e-06,0.00042472,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,3m,T-blend,209550,366,0.072433,0.071028,0.073835,0.23891,0.23421,0.24354,-0.00011423,-0.00032368,9.2399e-05,-1.478e-05,-4.4961e-05,1.5828e-05,0.0009592,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,2m,T-blend,209550,366,0.071482,0.070025,0.072866,0.23712,0.23237,0.24182,3.2461e-05,-0.00016274,0.0002146,1.6273e-06,-2.6503e-05,2.7447e-05,0.00045812,flat|T-blend,hour_of_week/60m/UTC
validation,z,tau,60m,G-blend,209550,366,0.086656,0.085054,0.088257,0.28762,0.28249,0.29266,0.0013999,-5.3289e-05,0.0029455,0.00039866,0.00014137,0.00066784,0.0027869,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,45m,G-blend,209550,366,0.085651,0.084033,0.087157,0.28326,0.27807,0.28843,0.001628,0.00042578,0.0028923,0.00047081,0.00025834,0.00072207,0.0014984,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,30m,G-blend,209550,366,0.084184,0.082736,0.085665,0.27826,0.27332,0.2834,0.0013668,0.00034877,0.0023275,0.00039608,0.00020592,0.00058785,-0.0020425,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,20m,G-blend,209550,366,0.079672,0.078283,0.081075,0.26509,0.26,0.26997,0.0036244,0.0027955,0.0045274,0.00077472,0.00061761,0.00094615,0.00073968,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,15m,G-blend,209550,366,0.080157,0.078805,0.081589,0.26521,0.26048,0.27026,0.0030489,0.002296,0.0039191,0.00050283,0.0003684,0.00063923,-0.00013839,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,10m,G-blend,209550,366,0.079532,0.078173,0.080746,0.26316,0.25834,0.26793,0.0026644,0.0019683,0.0034614,0.00041628,0.00030056,0.00053671,0.0015128,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,5m,G-blend,209550,366,0.075198,0.073808,0.076528,0.24875,0.24403,0.25331,0.0022561,0.0016644,0.002874,0.0003897,0.00028141,0.00050268,0.00042472,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,3m,G-blend,209550,366,0.072782,0.071458,0.074108,0.24112,0.23644,0.24584,0.0020958,0.0014672,0.0027571,0.00033365,0.00022723,0.00043782,0.0009592,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,2m,G-blend,209550,366,0.071886,0.070514,0.073189,0.24015,0.23518,0.245,0.0030612,0.0022412,0.0039296,0.00040536,0.00029342,0.00052557,0.00045812,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,60m,T-blend,209550,366,0.08573,0.08399,0.087532,0.28291,0.27727,0.28851,-0.0033078,-0.0041033,-0.0024408,-0.00052664,-0.00064871,-0.00040168,0.0027869,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,45m,T-blend,209550,366,0.084773,0.08303,0.086457,0.27908,0.27361,0.28458,-0.002551,-0.0031985,-0.0018575,-0.00040652,-0.0004985,-0.00030719,0.0014984,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,30m,T-blend,209550,366,0.083498,0.081867,0.085105,0.27481,0.26965,0.28,-0.0020854,-0.0025865,-0.001552,-0.00028948,-0.00036769,-0.00021663,-0.0020425,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,20m,T-blend,209550,366,0.07883,0.077327,0.080364,0.26088,0.25583,0.26569,-0.00058599,-0.00095944,-0.00019347,-6.6826e-05,-0.00012538,-4.978e-06,0.00073968,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,15m,T-blend,209550,366,0.079602,0.078152,0.081125,0.26184,0.25691,0.26689,-0.0003302,-0.00067847,3.4011e-05,-5.2115e-05,-0.00010077,1.0814e-06,-0.00013839,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,10m,T-blend,209550,366,0.079066,0.077614,0.080375,0.26032,0.25563,0.26489,-0.00017474,-0.00041599,9.9656e-05,-4.9401e-05,-8.6829e-05,-1.2343e-05,0.0015128,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,5m,T-blend,209550,366,0.074773,0.07328,0.076194,0.24628,0.24157,0.25084,-0.00021113,-0.0004506,1.8733e-05,-3.5779e-05,-7.2105e-05,-3.4148e-06,0.00042472,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,3m,T-blend,209550,366,0.072429,0.071026,0.073827,0.23887,0.23422,0.24347,-0.00015295,-0.00035869,3.2136e-05,-1.9378e-05,-4.7347e-05,7.6908e-06,0.0009592,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,2m,T-blend,209550,366,0.071474,0.070018,0.072862,0.23706,0.23231,0.24177,-2.8593e-05,-0.00023857,0.0001659,-6.4599e-06,-3.363e-05,1.9577e-05,0.00045812,flat|T-blend,hour_of_week/60m/ET
validation,z,tau,60m,G-blend,209550,366,0.08671,0.085115,0.088318,0.28779,0.28267,0.29288,0.0015729,0.00012143,0.0030694,0.0004535,0.00019584,0.00072052,0.0027869,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,45m,G-blend,209550,366,0.085632,0.08402,0.08715,0.28334,0.27806,0.28863,0.0017113,0.00043783,0.0030365,0.0004527,0.0002395,0.00070665,0.0014984,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,30m,G-blend,209550,366,0.083966,0.082509,0.085427,0.27752,0.27262,0.28273,0.00062173,-0.00053231,0.0018999,0.00017902,-2.5164e-05,0.0003889,-0.0020425,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,20m,G-blend,209550,366,0.079598,0.078207,0.081003,0.26498,0.25993,0.27001,0.0035149,0.0025079,0.0046415,0.00070032,0.00054025,0.00088524,0.00073968,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,15m,G-blend,209550,366,0.080123,0.078769,0.081557,0.26524,0.26047,0.27022,0.0030702,0.0022367,0.0040961,0.00046894,0.00032309,0.00061316,-0.00013839,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,10m,G-blend,209550,366,0.079506,0.078147,0.08074,0.26316,0.25835,0.26789,0.0026559,0.001835,0.0035722,0.00039019,0.00026963,0.00051561,0.0015128,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,5m,G-blend,209550,366,0.075202,0.073822,0.076532,0.24883,0.24412,0.2534,0.0023333,0.0016771,0.003039,0.00039309,0.00027909,0.00051112,0.00042472,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,3m,G-blend,209550,366,0.072785,0.071455,0.0741,0.2412,0.23654,0.24596,0.0021771,0.0015089,0.0028795,0.00033701,0.00022627,0.00044266,0.0009592,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,2m,G-blend,209550,366,0.071911,0.070553,0.073218,0.24021,0.23528,0.24508,0.0031211,0.002306,0.0040198,0.00043045,0.00031535,0.00055521,0.00045812,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,60m,T-blend,209550,366,0.085762,0.084024,0.087577,0.28309,0.27746,0.28876,-0.0031341,-0.0039192,-0.0022728,-0.00049468,-0.00062305,-0.00036917,0.0027869,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,45m,T-blend,209550,366,0.08474,0.082997,0.086429,0.27898,0.27341,0.28442,-0.0026563,-0.0033436,-0.0019062,-0.00043964,-0.00053843,-0.00033159,0.0014984,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,30m,T-blend,209550,366,0.083318,0.081737,0.084891,0.27386,0.26887,0.27914,-0.0030399,-0.003787,-0.0022998,-0.00046906,-0.0005743,-0.00035727,-0.0020425,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,20m,T-blend,209550,366,0.078778,0.077285,0.080304,0.26063,0.25569,0.26556,-0.00083274,-0.001299,-0.00031156,-0.00011893,-0.0001892,-3.5857e-05,0.00073968,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,15m,T-blend,209550,366,0.079575,0.078124,0.081116,0.26176,0.2569,0.26692,-0.00041069,-0.00083892,7.7254e-05,-7.8964e-05,-0.00014078,-1.2589e-05,-0.00013839,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,10m,T-blend,209550,366,0.079041,0.077592,0.080349,0.26022,0.25549,0.26476,-0.00028266,-0.00062386,8.805e-05,-7.4564e-05,-0.00012404,-2.5012e-05,0.0015128,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,5m,T-blend,209550,366,0.07477,0.073271,0.076205,0.24627,0.24151,0.25082,-0.00021902,-0.00051553,7.2504e-05,-3.8962e-05,-8.2092e-05,2.7309e-06,0.00042472,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,3m,T-blend,209550,366,0.072423,0.071022,0.073811,0.23886,0.2342,0.24352,-0.00016306,-0.00041678,8.1364e-05,-2.4543e-05,-6.135e-05,9.8848e-06,0.0009592,flat|T-blend,hour_of_week/30m/ET
validation,z,tau,2m,T-blend,209550,366,0.071487,0.070041,0.072881,0.2371,0.23242,0.2418,1.816e-05,-0.00025762,0.00026375,6.9964e-06,-2.8518e-05,4.1992e-05,0.00045812,flat|T-blend,hour_of_week/30m/ET
test,z,all,all,G-blend,3376125,632,0.077609,0.076817,0.07834,0.25771,0.25501,0.26027,0.0032072,0.0029579,0.0034654,0.00062568,0.00056482,0.00068395,-0.0002451,flat|T-blend,flat
test,z,all,all,T-blend,3376125,632,0.076984,0.076158,0.077745,0.2545,0.25176,0.25706,0,0,0,0,0,0,-0.0002451,flat|T-blend,flat
test,z,all,all,G-blend,3376125,632,0.077435,0.076644,0.078167,0.25664,0.25396,0.25911,0.0021354,0.001773,0.0025058,0.00045154,0.00038225,0.00051831,-0.0002451,flat|T-blend,time_of_day/60m/UTC
test,z,all,all,T-blend,3376125,632,0.076878,0.076052,0.077644,0.25373,0.251,0.25622,-0.00077341,-0.0009522,-0.0005853,-0.00010578,-0.00013405,-7.8131e-05,-0.0002451,flat|T-blend,time_of_day/60m/UTC
test,z,all,all,G-blend,3376125,632,0.077338,0.076553,0.078062,0.25612,0.25339,0.25863,0.0016133,0.0012263,0.0019964,0.0003542,0.00028797,0.00042234,-0.0002451,flat|T-blend,day_type/60m/UTC
test,z,all,all,T-blend,3376125,632,0.076816,0.075985,0.077578,0.25335,0.2506,0.25589,-0.0011511,-0.0013737,-0.00092698,-0.00016744,-0.00020103,-0.00013344,-0.0002451,flat|T-blend,day_type/60m/UTC
test,z,all,all,G-blend,3376125,632,0.077346,0.076553,0.078076,0.25627,0.25357,0.25889,0.0017639,0.001353,0.002198,0.00036252,0.0002922,0.0004349,-0.0002451,flat|T-blend,day_type/60m/ET
test,z,all,all,T-blend,3376125,632,0.076818,0.075984,0.077586,0.2534,0.2507,0.25596,-0.0011006,-0.0013407,-0.00087292,-0.00016543,-0.00020041,-0.00013073,-0.0002451,flat|T-blend,day_type/60m/ET
test,z,all,all,G-blend,3376125,632,0.077306,0.07652,0.078047,0.25615,0.25345,0.25879,0.0016428,0.0011857,0.002141,0.00032289,0.00024667,0.00040018,-0.0002451,flat|T-blend,day_type/30m/ET
test,z,all,all,T-blend,3376125,632,0.076777,0.075947,0.07754,0.25318,0.25041,0.25571,-0.0013259,-0.0016029,-0.001048,-0.00020689,-0.00024815,-0.00016223,-0.0002451,flat|T-blend,day_type/30m/ET
test,z,all,all,G-blend,3376125,632,0.077304,0.076516,0.078037,0.25588,0.25315,0.25844,0.0013716,0.00096613,0.0017707,0.00032055,0.00025027,0.00039224,-0.0002451,flat|T-blend,hour_of_week/60m/UTC
test,z,all,all,T-blend,3376125,632,0.076792,0.075957,0.077561,0.25318,0.25041,0.25571,-0.0013251,-0.0015752,-0.0010696,-0.00019192,-0.00022981,-0.00015426,-0.0002451,flat|T-blend,hour_of_week/60m/UTC
test,z,all,all,G-blend,3376125,632,0.077266,0.076467,0.077994,0.25576,0.25308,0.25833,0.0012603,0.00085404,0.0016746,0.00028257,0.00021168,0.00035387,-0.0002451,flat|T-blend,hour_of_week/60m/ET
test,z,all,all,T-blend,3376125,632,0.076765,0.075936,0.077533,0.25306,0.25033,0.2556,-0.0014428,-0.0016921,-0.0011862,-0.00021843,-0.00025625,-0.00018078,-0.0002451,flat|T-blend,hour_of_week/60m/ET
test,z,all,all,G-blend,3376125,632,0.077262,0.076479,0.077995,0.25581,0.25312,0.25844,0.0013075,0.00084392,0.0017777,0.00027823,0.00020195,0.00035651,-0.0002451,flat|T-blend,hour_of_week/30m/ET
test,z,all,all,T-blend,3376125,632,0.076751,0.075927,0.077514,0.25296,0.25023,0.25552,-0.0015417,-0.0018434,-0.0012247,-0.00023297,-0.00028068,-0.0001854,-0.0002451,flat|T-blend,hour_of_week/30m/ET
test,z,tau,60m,G-blend,375125,632,0.087488,0.086368,0.08862,0.28961,0.28581,0.29327,0.0037654,0.0033074,0.0042509,0.00081938,0.00070099,0.00093855,-0.00027058,flat|T-blend,flat
test,z,tau,45m,G-blend,375125,632,0.085692,0.084651,0.086766,0.28378,0.2804,0.28725,0.0037504,0.0033113,0.0041738,0.00085729,0.00074477,0.00096984,-0.001097,flat|T-blend,flat
test,z,tau,30m,G-blend,375125,632,0.085165,0.084048,0.086292,0.28173,0.27799,0.28532,0.0034519,0.0030187,0.003864,0.00076576,0.00065412,0.00087674,-0.00075575,flat|T-blend,flat
test,z,tau,20m,G-blend,375125,632,0.079549,0.078437,0.080668,0.26371,0.2598,0.2676,0.0029871,0.0025076,0.0034784,0.00055538,0.00045905,0.00065006,0.0011929,flat|T-blend,flat
test,z,tau,15m,G-blend,375125,632,0.078831,0.077803,0.079937,0.26063,0.25705,0.26471,0.0027044,0.0022773,0.0031538,0.00048075,0.00040479,0.00055478,0.00053449,flat|T-blend,flat
test,z,tau,10m,G-blend,375125,632,0.076738,0.075777,0.077809,0.25375,0.25039,0.25746,0.0024763,0.0020612,0.0029171,0.00044196,0.00037359,0.00050389,-8.6638e-05,flat|T-blend,flat
test,z,tau,5m,G-blend,375125,632,0.070632,0.069625,0.071671,0.23496,0.23153,0.23863,0.0027741,0.0023255,0.0032663,0.00050551,0.00043525,0.00057292,-0.0020113,flat|T-blend,flat
test,z,tau,3m,G-blend,375125,632,0.067912,0.066965,0.06894,0.2278,0.22425,0.23154,0.0034862,0.0030024,0.0040156,0.00057222,0.00050642,0.00064685,0.0004092,flat|T-blend,flat
test,z,tau,2m,G-blend,375125,632,0.066477,0.065431,0.067478,0.22344,0.21969,0.22722,0.003469,0.0029453,0.0039918,0.00063286,0.00055228,0.00070932,-0.00012129,flat|T-blend,flat
test,z,tau,60m,T-blend,375125,632,0.086668,0.085459,0.087881,0.28584,0.28186,0.28971,0,0,0,0,0,0,-0.00027058,flat|T-blend,flat
test,z,tau,45m,T-blend,375125,632,0.084834,0.083702,0.086014,0.28003,0.27645,0.28369,0,0,0,0,0,0,-0.001097,flat|T-blend,flat
test,z,tau,30m,T-blend,375125,632,0.084399,0.08321,0.085619,0.27828,0.27445,0.28219,0,0,0,0,0,0,-0.00075575,flat|T-blend,flat
test,z,tau,20m,T-blend,375125,632,0.078994,0.077814,0.080171,0.26072,0.25687,0.26472,0,0,0,0,0,0,0.0011929,flat|T-blend,flat
test,z,tau,15m,T-blend,375125,632,0.07835,0.077274,0.079502,0.25793,0.25439,0.26192,0,0,0,0,0,0,0.00053449,flat|T-blend,flat
test,z,tau,10m,T-blend,375125,632,0.076296,0.075282,0.077411,0.25127,0.2481,0.2549,0,0,0,0,0,0,-8.6638e-05,flat|T-blend,flat
test,z,tau,5m,T-blend,375125,632,0.070126,0.069065,0.071218,0.23218,0.22875,0.23574,0,0,0,0,0,0,-0.0020113,flat|T-blend,flat
test,z,tau,3m,T-blend,375125,632,0.06734,0.066361,0.068419,0.22432,0.22093,0.2279,0,0,0,0,0,0,0.0004092,flat|T-blend,flat
test,z,tau,2m,T-blend,375125,632,0.065845,0.064754,0.066918,0.21997,0.21632,0.22358,0,0,0,0,0,0,-0.00012129,flat|T-blend,flat
test,z,tau,60m,G-blend,375125,632,0.087098,0.085968,0.088218,0.28755,0.28361,0.29127,0.0017075,0.00093645,0.0025128,0.00042931,0.00028693,0.00058549,-0.00027058,flat|T-blend,time_of_day/60m/UTC
test,z,tau,45m,G-blend,375125,632,0.085264,0.084219,0.086323,0.2813,0.27802,0.28475,0.0012771,0.00051825,0.0020437,0.00043026,0.00028592,0.00056717,-0.001097,flat|T-blend,time_of_day/60m/UTC
test,z,tau,30m,G-blend,375125,632,0.084681,0.083573,0.085823,0.27881,0.27523,0.28244,0.00053872,-9.1864e-05,0.0011535,0.00028168,0.00015556,0.00039659,-0.00075575,flat|T-blend,time_of_day/60m/UTC
test,z,tau,20m,G-blend,375125,632,0.079445,0.078334,0.08059,0.26287,0.25899,0.2668,0.0021464,0.0016231,0.0027097,0.00045111,0.00034749,0.0005579,0.0011929,flat|T-blend,time_of_day/60m/UTC
test,z,tau,15m,G-blend,375125,632,0.078758,0.077736,0.079869,0.26003,0.25643,0.26415,0.0021017,0.0015685,0.0026123,0.0004075,0.00031388,0.00049549,0.00053449,flat|T-blend,time_of_day/60m/UTC
test,z,tau,10m,G-blend,375125,632,0.076663,0.075701,0.077731,0.25321,0.24993,0.2569,0.0019384,0.0014812,0.0024179,0.00036705,0.00029383,0.00043676,-8.6638e-05,flat|T-blend,time_of_day/60m/UTC
test,z,tau,5m,G-blend,375125,632,0.070603,0.069585,0.071629,0.23478,0.23138,0.23847,0.0025945,0.0021144,0.0030879,0.00047723,0.00040152,0.00054721,-0.0020113,flat|T-blend,time_of_day/60m/UTC
test,z,tau,3m,G-blend,375125,632,0.067904,0.066972,0.068926,0.2277,0.2241,0.23146,0.0033829,0.0028378,0.0039494,0.00056454,0.00049209,0.0006439,0.0004092,flat|T-blend,time_of_day/60m/UTC
test,z,tau,2m,G-blend,375125,632,0.0665,0.065462,0.067497,0.2235,0.21971,0.22721,0.0035316,0.0029287,0.0041478,0.00065515,0.00056542,0.0007373,-0.00012129,flat|T-blend,time_of_day/60m/UTC
test,z,tau,60m,T-blend,375125,632,0.086384,0.085174,0.087593,0.28403,0.28003,0.28791,-0.0018158,-0.0023425,-0.0012973,-0.00028398,-0.00036923,-0.00019517,-0.00027058,flat|T-blend,time_of_day/60m/UTC
test,z,tau,45m,T-blend,375125,632,0.084591,0.083462,0.085755,0.2783,0.27486,0.28189,-0.0017217,-0.002202,-0.0012693,-0.00024295,-0.00031498,-0.00016535,-0.001097,flat|T-blend,time_of_day/60m/UTC
test,z,tau,30m,T-blend,375125,632,0.084133,0.082947,0.085341,0.27638,0.27256,0.28023,-0.0018944,-0.0023029,-0.0015037,-0.00026548,-0.00032358,-0.0002063,-0.00075575,flat|T-blend,time_of_day/60m/UTC
test,z,tau,20m,T-blend,375125,632,0.078942,0.077762,0.08013,0.26019,0.25637,0.26419,-0.00053206,-0.00078963,-0.00028923,-5.1867e-05,-8.8283e-05,-1.3973e-05,0.0011929,flat|T-blend,time_of_day/60m/UTC
test,z,tau,15m,T-blend,375125,632,0.078308,0.077239,0.07947,0.25753,0.25398,0.26148,-0.00039848,-0.00065339,-0.00016091,-4.2215e-05,-7.6716e-05,-8.2372e-06,0.00053449,flat|T-blend,time_of_day/60m/UTC
test,z,tau,10m,T-blend,375125,632,0.076251,0.075249,0.077358,0.25092,0.24774,0.25448,-0.00035404,-0.00053841,-0.00017596,-4.497e-05,-7.4314e-05,-1.7217e-05,-8.6638e-05,flat|T-blend,time_of_day/60m/UTC
test,z,tau,5m,T-blend,375125,632,0.070111,0.069059,0.071196,0.23207,0.2287,0.23563,-0.00011662,-0.00026155,2.3895e-05,-1.496e-05,-3.8635e-05,7.1371e-06,-0.0020113,flat|T-blend,time_of_day/60m/UTC
test,z,tau,3m,T-blend,375125,632,0.067335,0.066356,0.068413,0.22424,0.22087,0.22782,-7.4825e-05,-0.00023579,7.272e-05,-4.9842e-06,-2.7591e-05,1.6565e-05,0.0004092,flat|T-blend,time_of_day/60m/UTC
test,z,tau,2m,T-blend,375125,632,0.065844,0.064753,0.066917,0.21992,0.21626,0.22346,-5.2776e-05,-0.00020954,0.00010701,-5.8858e-07,-2.1869e-05,1.9806e-05,-0.00012129,flat|T-blend,time_of_day/60m/UTC
test,z,tau,60m,G-blend,375125,632,0.086808,0.085692,0.0879,0.28594,0.28222,0.28968,9.5379e-05,-0.00081943,0.0010354,0.00013955,-2.4889e-05,0.00030717,-0.00027058,flat|T-blend,day_type/60m/UTC
test,z,tau,45m,G-blend,375125,632,0.085087,0.084032,0.086146,0.2804,0.27714,0.28388,0.00037191,-0.00043517,0.0012149,0.00025263,9.9682e-05,0.00039726,-0.001097,flat|T-blend,day_type/60m/UTC
test,z,tau,30m,G-blend,375125,632,0.084539,0.08344,0.085664,0.27815,0.27457,0.28177,-0.00012805,-0.00084403,0.00060929,0.00014033,5.7074e-06,0.0002614,-0.00075575,flat|T-blend,day_type/60m/UTC
test,z,tau,20m,G-blend,375125,632,0.07937,0.07826,0.0805,0.2625,0.25868,0.26636,0.0017766,0.0011867,0.0023646,0.00037614,0.0002773,0.00048846,0.0011929,flat|T-blend,day_type/60m/UTC
test,z,tau,15m,G-blend,375125,632,0.07866,0.077643,0.079749,0.25951,0.25588,0.26364,0.0015857,0.0010642,0.0021261,0.00030959,0.00022347,0.00038922,0.00053449,flat|T-blend,day_type/60m/UTC
test,z,tau,10m,G-blend,375125,632,0.076624,0.075667,0.077695,0.25308,0.24978,0.25678,0.0018079,0.001321,0.0022969,0.00032835,0.00025451,0.00039963,-8.6638e-05,flat|T-blend,day_type/60m/UTC
test,z,tau,5m,G-blend,375125,632,0.07058,0.069559,0.071609,0.23455,0.23108,0.23828,0.0023634,0.001898,0.002873,0.00045384,0.00037691,0.00052524,-0.0020113,flat|T-blend,day_type/60m/UTC
test,z,tau,3m,G-blend,375125,632,0.067892,0.066952,0.068909,0.22756,0.22393,0.23128,0.003238,0.002729,0.0038121,0.0005517,0.00047856,0.00062644,0.0004092,flat|T-blend,day_type/60m/UTC
test,z,tau,2m,G-blend,375125,632,0.06648,0.065433,0.067477,0.22338,0.21964,0.22713,0.0034085,0.0027989,0.0040233,0.00063567,0.00054619,0.00071501,-0.00012129,flat|T-blend,day_type/60m/UTC
test,z,tau,60m,T-blend,375125,632,0.086209,0.084993,0.087389,0.28288,0.27894,0.28667,-0.0029613,-0.0035881,-0.0023102,-0.00045952,-0.00056634,-0.00035591,-0.00027058,flat|T-blend,day_type/60m/UTC
test,z,tau,45m,T-blend,375125,632,0.084478,0.08335,0.085641,0.27759,0.27413,0.28119,-0.0024384,-0.0029947,-0.0018896,-0.00035586,-0.00044185,-0.00026833,-0.001097,flat|T-blend,day_type/60m/UTC
test,z,tau,30m,T-blend,375125,632,0.084038,0.08285,0.085227,0.27581,0.27206,0.27965,-0.0024672,-0.002923,-0.0019651,-0.00036137,-0.00043246,-0.0002891,-0.00075575,flat|T-blend,day_type/60m/UTC
test,z,tau,20m,T-blend,375125,632,0.078898,0.077718,0.080081,0.25993,0.25609,0.26398,-0.00078395,-0.001089,-0.00047839,-9.5873e-05,-0.00014003,-5.3124e-05,0.0011929,flat|T-blend,day_type/60m/UTC
test,z,tau,15m,T-blend,375125,632,0.078248,0.077172,0.079402,0.25718,0.25358,0.26112,-0.00074669,-0.0010472,-0.00045036,-0.00010198,-0.0001463,-6.0096e-05,0.00053449,flat|T-blend,day_type/60m/UTC
test,z,tau,10m,T-blend,375125,632,0.076217,0.075212,0.077318,0.25077,0.24762,0.25429,-0.00050032,-0.00071395,-0.00028883,-7.8957e-05,-0.0001116,-4.5002e-05,-8.6638e-05,flat|T-blend,day_type/60m/UTC
test,z,tau,5m,T-blend,375125,632,0.070098,0.069034,0.071186,0.23193,0.22856,0.23547,-0.00025697,-0.000438,-8.2008e-05,-2.8578e-05,-5.6359e-05,-2.906e-06,-0.0020113,flat|T-blend,day_type/60m/UTC
test,z,tau,3m,T-blend,375125,632,0.067327,0.066338,0.068403,0.22418,0.22082,0.22777,-0.00013275,-0.00030813,3.3567e-05,-1.2896e-05,-3.7023e-05,1.095e-05,0.0004092,flat|T-blend,day_type/60m/UTC
test,z,tau,2m,T-blend,375125,632,0.065833,0.064744,0.066891,0.2199,0.2163,0.22346,-7.2133e-05,-0.00025328,9.1292e-05,-1.1896e-05,-3.6232e-05,1.0653e-05,-0.00012129,flat|T-blend,day_type/60m/UTC
test,z,tau,60m,G-blend,375125,632,0.086848,0.085721,0.087979,0.28623,0.28241,0.28999,0.00039127,-0.00058564,0.0013642,0.00017918,1.9846e-05,0.00034722,-0.00027058,flat|T-blend,day_type/60m/ET
test,z,tau,45m,G-blend,375125,632,0.085078,0.084025,0.086149,0.28047,0.27707,0.28402,0.0004404,-0.00039005,0.0012916,0.00024327,9.4904e-05,0.00039472,-0.001097,flat|T-blend,day_type/60m/ET
test,z,tau,30m,G-blend,375125,632,0.0845,0.083394,0.085631,0.27808,0.27444,0.28181,-0.00019178,-0.00099227,0.00062355,0.00010065,-3.6706e-05,0.00023042,-0.00075575,flat|T-blend,day_type/60m/ET
test,z,tau,20m,G-blend,375125,632,0.079373,0.078263,0.0805,0.26273,0.25888,0.26673,0.0020125,0.0013798,0.002644,0.00037976,0.00027395,0.00048967,0.0011929,flat|T-blend,day_type/60m/ET
test,z,tau,15m,G-blend,375125,632,0.078693,0.077668,0.079775,0.25978,0.25613,0.26391,0.0018473,0.0012836,0.0024332,0.0003427,0.0002547,0.00043159,0.00053449,flat|T-blend,day_type/60m/ET
