period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,layout
validation,z,tau,2m,G-blend,209550,366,0.071894,0.070526,0.073208,0.24021,0.23522,0.24521,0.0031249,0.0024107,0.0039069,0.00041344,0.00030876,0.00052933,0.00045812,flat|T-blend,flat
validation,z,tau,60m,T-blend,209550,366,0.086257,0.084507,0.088041,0.28622,0.28056,0.29186,0,0,0,0,0,0,0.0027869,flat|T-blend,flat
validation,z,tau,45m,T-blend,209550,366,0.08518,0.08344,0.086876,0.28163,0.27609,0.28706,0,0,0,0,0,0,0.0014984,flat|T-blend,flat
validation,z,tau,30m,T-blend,209550,366,0.083787,0.082184,0.085417,0.2769,0.27177,0.28218,0,0,0,0,0,0,-0.0020425,flat|T-blend,flat
validation,z,tau,20m,T-blend,209550,366,0.078897,0.07738,0.080442,0.26147,0.25648,0.26629,0,0,0,0,0,0,0.00073968,flat|T-blend,flat
validation,z,tau,15m,T-blend,209550,366,0.079654,0.078209,0.081189,0.26217,0.25735,0.26715,0,0,0,0,0,0,-0.00013839,flat|T-blend,flat
validation,z,tau,10m,T-blend,209550,366,0.079116,0.077651,0.08043,0.2605,0.25572,0.26502,0,0,0,0,0,0,0.0015128,flat|T-blend,flat
validation,z,tau,5m,T-blend,209550,366,0.074809,0.073329,0.076215,0.24649,0.24162,0.25116,0,0,0,0,0,0,0.00042472,flat|T-blend,flat
validation,z,tau,3m,T-blend,209550,366,0.072448,0.071052,0.073849,0.23903,0.23442,0.2437,0,0,0,0,0,0,0.0009592,flat|T-blend,flat
validation,z,tau,2m,T-blend,209550,366,0.07148,0.070028,0.072872,0.23709,0.23238,0.24185,0,0,0,0,0,0,0.00045812,flat|T-blend,flat
validation,z,tau,60m,G-blend,209550,366,0.087278,0.085683,0.088859,0.29047,0.28542,0.29578,0.0042468,0.0030212,0.0054124,0.0010209,0.00077292,0.0012767,0.0027869,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,45m,G-blend,209550,366,0.086037,0.084452,0.087518,0.28488,0.27983,0.29,0.0032491,0.0023036,0.0042375,0.00085753,0.00064456,0.0011012,0.0014984,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,30m,G-blend,209550,366,0.084404,0.082976,0.085863,0.27952,0.27481,0.28457,0.0026208,0.001781,0.0034631,0.00061704,0.00043089,0.00080724,-0.0020425,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,20m,G-blend,209550,366,0.079779,0.078389,0.081163,0.26573,0.26076,0.27049,0.0042595,0.0034139,0.0051668,0.00088214,0.00071396,0.0010543,0.00073968,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,15m,G-blend,209550,366,0.080215,0.078884,0.081634,0.26548,0.26083,0.27033,0.0033103,0.0026005,0.0041102,0.00056156,0.00042501,0.00069882,-0.00013839,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,10m,G-blend,209550,366,0.079544,0.078172,0.080772,0.2631,0.25826,0.26771,0.0025976,0.0019516,0.0032615,0.00042806,0.00030592,0.00055138,0.0015128,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,5m,G-blend,209550,366,0.075195,0.073811,0.076529,0.24866,0.24388,0.25334,0.0021661,0.0016056,0.0027603,0.00038624,0.00027831,0.00049164,0.00042472,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,3m,G-blend,209550,366,0.072783,0.07146,0.074105,0.24114,0.23646,0.24601,0.0021188,0.0014929,0.0027577,0.00033518,0.00023156,0.00043881,0.0009592,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,2m,G-blend,209550,366,0.071891,0.070518,0.073204,0.24031,0.23533,0.24527,0.0032232,0.0024482,0.0041428,0.00041099,0.00030511,0.00052946,0.00045812,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,60m,T-blend,209550,366,0.085965,0.084199,0.087757,0.28455,0.27888,0.29012,-0.0016759,-0.002195,-0.0011997,-0.00029161,-0.00036837,-0.00022173,0.0027869,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,45m,T-blend,209550,366,0.084919,0.083191,0.086599,0.28003,0.27456,0.28542,-0.0016002,-0.002005,-0.001207,-0.00026067,-0.00031737,-0.00020182,0.0014984,flat|T-blend,time_of_day/60m/UTC
validation,z,tau,30m,T-blend,209550,366,0.083607,0.081998,0.085224,0.27564,0.27054,0.2809,-0.001262,-0.0015972,-0.00089632,-0.00018061,-0.00023142,-0.0001302,-0.0020425,flat|T-blend,time_of_day/60m/UTC
