period,grid,model,tau_min,brier,reliability,resolution,uncertainty,within_bin,ece
test,z,MIX-blend,3,0.067342,4.5864e-05,0.18256,0.25,-0.00014198,0.0049945
test,z,MIX-blend,2,0.065848,4.6297e-05,0.18405,0.25,-0.00014341,0.0049306
test,z,EMP-blend,all,0.076775,3.0094e-05,0.17311,0.25,-0.00014975,
test,z,EMP-blend,60,0.086121,1.6262e-05,0.16373,0.25,-0.00016422,0.0024417
test,z,EMP-blend,45,0.084367,2.2356e-05,0.1655,0.25,-0.00015928,0.0030393
test,z,EMP-blend,30,0.083791,2.3629e-05,0.16608,0.25,-0.00015643,0.0030202
test,z,EMP-blend,20,0.078812,2.2638e-05,0.17105,0.25,-0.00015749,0.0027604
test,z,EMP-blend,15,0.078222,3.3e-05,0.17167,0.25,-0.0001373,0.0040802
test,z,EMP-blend,10,0.076254,4.4204e-05,0.17365,0.25,-0.00013829,0.004965
test,z,EMP-blend,5,0.070138,6.1254e-05,0.17979,0.25,-0.00012988,0.00543
test,z,EMP-blend,3,0.067382,7.3082e-05,0.18255,0.25,-0.00013845,0.0058736
test,z,EMP-blend,2,0.065887,7.1225e-05,0.18405,0.25,-0.00013286,0.0057867
