period,grid,group,level,model,n,n_days,brier,brier_lo,brier_hi,log_loss,ll_lo,ll_hi,d_ll_vs_base,d_ll_lo,d_ll_hi,d_brier_vs_base,d_brier_lo,d_brier_hi,citl,base,variant
test,z,tau,20m,T-blend,378800,632,0.078662,0.077488,0.079854,0.25899,0.2553,0.263,-0.0027553,-0.0032133,-0.0022982,-0.00044887,-0.00053499,-0.00036419,0.0012328,G-blend,incl. no-trade settlement minutes
test,z,tau,15m,T-blend,378800,632,0.078068,0.076994,0.079231,0.25641,0.25287,0.26038,-0.0024269,-0.0028557,-0.0020153,-0.00040802,-0.0004741,-0.00033892,0.00064414,G-blend,incl. no-trade settlement minutes
test,z,tau,10m,T-blend,378800,632,0.076109,0.075122,0.077188,0.2504,0.24722,0.25373,-0.0024119,-0.0028588,-0.001976,-0.00040682,-0.00046474,-0.00034354,-1.5839e-05,G-blend,incl. no-trade settlement minutes
test,z,tau,5m,T-blend,378800,632,0.069987,0.068918,0.071049,0.23156,0.22827,0.23502,-0.0026811,-0.0031529,-0.0022437,-0.00049719,-0.00056366,-0.00042737,-0.0019615,G-blend,incl. no-trade settlement minutes
test,z,tau,3m,T-blend,378800,632,0.067174,0.066198,0.068232,0.22375,0.22042,0.22729,-0.003491,-0.0039936,-0.0030121,-0.00058891,-0.00066117,-0.00052003,0.00043823,G-blend,incl. no-trade settlement minutes
test,z,tau,2m,T-blend,378800,632,0.065632,0.064565,0.066668,0.21927,0.21572,0.22282,-0.0036407,-0.0041829,-0.003083,-0.00067539,-0.00075347,-0.00059127,-0.00019535,G-blend,incl. no-trade settlement minutes
test,z,all,all,G-blend,3376125,632,0.068939,0.068262,0.069617,0.22923,0.2268,0.23161,0,0,0,0,0,0,-0.00030168,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,all,all,T-blend,3376125,632,0.068451,0.067728,0.069155,0.22635,0.22401,0.22873,-0.0028727,-0.0031588,-0.0025938,-0.00048799,-0.00053315,-0.00044258,-0.00030168,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,60m,G-blend,375125,632,0.085224,0.084092,0.086361,0.28111,0.27744,0.28489,0,0,0,0,0,0,-0.00052383,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,45m,G-blend,375125,632,0.083788,0.082697,0.084887,0.27629,0.27278,0.28,0,0,0,0,0,0,-0.0014409,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,30m,G-blend,375125,632,0.081955,0.080804,0.08303,0.26979,0.26598,0.27352,0,0,0,0,0,0,-0.00076375,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,20m,G-blend,375125,632,0.076807,0.075749,0.077976,0.2543,0.25069,0.25822,0,0,0,0,0,0,0.0017767,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,15m,G-blend,375125,632,0.075858,0.074796,0.076995,0.25083,0.24701,0.2549,0,0,0,0,0,0,0.00021193,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,10m,G-blend,375125,632,0.071171,0.070212,0.072162,0.23623,0.23279,0.23967,0,0,0,0,0,0,-0.00023859,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,5m,G-blend,375125,632,0.061039,0.060185,0.061994,0.20501,0.20185,0.20885,0,0,0,0,0,0,-0.0010197,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,3m,G-blend,375125,632,0.050797,0.049964,0.051616,0.17333,0.1699,0.17684,0,0,0,0,0,0,3.9987e-06,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,2m,G-blend,375125,632,0.033812,0.033212,0.034372,0.11615,0.11364,0.11865,0,0,0,0,0,0,-0.00072109,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,60m,T-blend,375125,632,0.084681,0.0835,0.08587,0.27807,0.27407,0.28184,-0.0030398,-0.0035117,-0.002575,-0.00054254,-0.00064124,-0.00044354,-0.00052383,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,45m,T-blend,375125,632,0.08326,0.082133,0.084427,0.27351,0.26996,0.27714,-0.0027788,-0.0032201,-0.002341,-0.00052733,-0.00061702,-0.00043967,-0.0014409,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,30m,T-blend,375125,632,0.081535,0.080313,0.082677,0.26734,0.26351,0.27099,-0.002443,-0.0028268,-0.0020504,-0.00042017,-0.00050185,-0.00034074,-0.00076375,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,20m,T-blend,375125,632,0.076364,0.075252,0.077584,0.25162,0.24805,0.25553,-0.0026823,-0.0031392,-0.0022215,-0.00044266,-0.0005236,-0.00036524,0.0017767,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,15m,T-blend,375125,632,0.075441,0.074349,0.076629,0.24833,0.24465,0.25219,-0.0024995,-0.0029483,-0.0020206,-0.000417,-0.00048115,-0.0003484,0.00021193,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,10m,T-blend,375125,632,0.070771,0.069751,0.071829,0.23369,0.23049,0.23696,-0.0025414,-0.0030504,-0.0020472,-0.00040083,-0.00045924,-0.0003389,-0.00023859,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,5m,T-blend,375125,632,0.060554,0.059651,0.061557,0.20188,0.19883,0.20532,-0.0031369,-0.0037948,-0.0025774,-0.00048477,-0.00054676,-0.00041769,-0.0010197,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,3m,T-blend,375125,632,0.050271,0.049397,0.05113,0.16954,0.16643,0.17254,-0.0037882,-0.0045363,-0.0030899,-0.00052641,-0.00058641,-0.00046407,3.9987e-06,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,tau,2m,T-blend,375125,632,0.033182,0.032568,0.033779,0.11321,0.11099,0.11537,-0.0029439,-0.0036014,-0.0023928,-0.00063023,-0.00068669,-0.00057795,-0.00072109,G-blend,LOOK-AHEAD PLACEBO (spot = close at t+60s)
test,z,all,all,G-blend,3376125,632,0.077317,0.076523,0.078042,0.2565,0.25373,0.25918,0,0,0,0,0,0,-0.0002451,G-blend,training window 6 months
