period,model,split,q_bucket,n,n_events,mean_model_p,freq,freq_lo,freq_hi,ratio_freq_to_p,ratio_lo,ratio_hi
test,G-seas-2h,tau_10-20m,2-5%,134290,3722,0.032833,0.027716,0.026156,0.029387,0.84415,0.79676,0.89482
test,G-seas-2h,tau_10-20m,5-10%,68650,3388,0.068075,0.049352,0.046304,0.052227,0.72496,0.67983,0.76729
test,G-seas-2h,tau_10-20m,10-20%,18046,1847,0.13377,0.10235,0.09424,0.11122,0.76514,0.7029,0.83209
test,G-seas-2h,tau_30-60m,<0.2%,309896,1521,0.00051745,0.0049081,0.0042629,0.0055631,9.4851,8.225,10.735
test,G-seas-2h,tau_30-60m,0.2-0.5%,93864,988,0.0033066,0.010526,0.0095477,0.011513,3.1832,2.8918,3.4841
test,G-seas-2h,tau_30-60m,0.5-1%,81588,1242,0.0072541,0.015223,0.014016,0.016383,2.0985,1.9338,2.2585
test,G-seas-2h,tau_30-60m,1-2%,91742,1972,0.014511,0.021495,0.020251,0.022806,1.4813,1.3966,1.5717
test,G-seas-2h,tau_30-60m,2-5%,135138,4749,0.032848,0.035142,0.033538,0.036754,1.0698,1.0213,1.1182
test,G-seas-2h,tau_30-60m,5-10%,73598,4445,0.068571,0.060396,0.057402,0.06339,0.88078,0.83704,0.92399
test,G-seas-2h,tau_30-60m,10-20%,22162,2687,0.13418,0.12124,0.11244,0.13046,0.9036,0.83885,0.97308
test,T-raw-2h,all,0.2-0.5%,421520,1442,0.0037405,0.003421,0.0030155,0.003852,0.91456,0.8055,1.0308
test,T-raw-2h,all,0.5-1%,664412,4708,0.0072462,0.007086,0.0066181,0.0076498,0.97789,0.91355,1.0547
test,T-raw-2h,all,1-2%,544300,7418,0.014077,0.013629,0.012926,0.014399,0.96817,0.91871,1.0233
test,T-raw-2h,all,2-5%,675548,20249,0.031537,0.029974,0.02898,0.031085,0.95044,0.91852,0.98525
test,T-raw-2h,all,5-10%,125030,6884,0.057136,0.055059,0.053332,0.056932,0.96364,0.93297,0.9961
test,T-raw-2h,up,0.2-0.5%,210760,746,0.0037405,0.0035396,0.0029581,0.0041676,0.94627,0.79087,1.1136
test,T-raw-2h,up,0.5-1%,332206,2345,0.0072462,0.0070589,0.0062946,0.0078753,0.97415,0.86887,1.0859
test,T-raw-2h,up,1-2%,272150,3623,0.014077,0.013313,0.012256,0.014446,0.94572,0.86995,1.0256
test,T-raw-2h,up,2-5%,337774,9885,0.031537,0.029265,0.027622,0.030959,0.92796,0.87526,0.9815
test,T-raw-2h,up,5-10%,62515,3413,0.057136,0.054595,0.051927,0.05754,0.95552,0.90844,1.0074
test,T-raw-2h,down,0.2-0.5%,210760,696,0.0037405,0.0033023,0.0026577,0.0038915,0.88285,0.71107,1.0413
test,T-raw-2h,down,0.5-1%,332206,2363,0.0072462,0.0071131,0.0062863,0.0079348,0.98163,0.86736,1.0951
test,T-raw-2h,down,1-2%,272150,3795,0.014077,0.013945,0.012777,0.015077,0.99062,0.90822,1.071
test,T-raw-2h,down,2-5%,337774,10364,0.031537,0.030683,0.028928,0.032335,0.97292,0.91803,1.0247
test,T-raw-2h,down,5-10%,62515,3471,0.057136,0.055523,0.052591,0.058411,0.97176,0.92027,1.022
test,T-raw-2h,tau_2-5m,0.2-0.5%,265702,801,0.0035849,0.0030147,0.002579,0.0034893,0.84093,0.71977,0.97198
test,T-raw-2h,tau_2-5m,0.5-1%,192988,1190,0.007281,0.0061662,0.0055508,0.0068789,0.84689,0.76294,0.9453
test,T-raw-2h,tau_2-5m,1-2%,177086,2271,0.01443,0.012824,0.011906,0.013778,0.88873,0.8268,0.95365
test,T-raw-2h,tau_2-5m,2-5%,174494,4911,0.030728,0.028144,0.026786,0.029496,0.9159,0.87262,0.95791
test,T-raw-2h,tau_10-20m,0.2-0.5%,152996,621,0.0039881,0.0040589,0.003518,0.0046666,1.0178,0.88141,1.1699
test,T-raw-2h,tau_10-20m,0.5-1%,209762,1460,0.0071072,0.0069603,0.0062955,0.0077712,0.97933,0.88586,1.0923
test,T-raw-2h,tau_10-20m,1-2%,181548,2530,0.013905,0.013936,0.012951,0.015014,1.0022,0.93131,1.0814
test,T-raw-2h,tau_10-20m,2-5%,230964,7146,0.032776,0.03094,0.029468,0.03235,0.94399,0.89939,0.98852
test,T-raw-2h,tau_10-20m,5-10%,35000,1671,0.050843,0.047743,0.04448,0.050785,0.93902,0.87496,0.999
test,T-raw-2h,tau_30-60m,0.2-0.5%,2822,20,0.0049732,0.0070872,0.0043829,0.01015,1.4251,0.88119,2.0412
test,T-raw-2h,tau_30-60m,0.5-1%,261662,2058,0.007332,0.0078651,0.0071657,0.0086093,1.0727,0.97758,1.1745
test,T-raw-2h,tau_30-60m,1-2%,185666,2617,0.013907,0.014095,0.013171,0.015091,1.0135,0.94648,1.084
test,T-raw-2h,tau_30-60m,2-5%,270090,8192,0.031001,0.030331,0.028946,0.031719,0.97839,0.93421,1.0223
test,T-raw-2h,tau_30-60m,5-10%,90030,5213,0.059582,0.057903,0.056011,0.059897,0.97181,0.94007,1.0055
