period,model,split,q_bucket,n,n_events,mean_model_p,freq,freq_lo,freq_hi,ratio_freq_to_p,ratio_lo,ratio_hi
test,T-blend,tau_2-5m,1-2%,133434,1687,0.014304,0.012643,0.011652,0.013658,0.88386,0.81468,0.95431
test,T-blend,tau_2-5m,2-5%,120332,3176,0.030767,0.026394,0.024662,0.02804,0.85786,0.8025,0.91186
test,T-blend,tau_2-5m,5-10%,31618,1914,0.067233,0.060535,0.05658,0.065109,0.90038,0.84108,0.96772
test,T-blend,tau_2-5m,10-20%,6070,720,0.12226,0.11862,0.10814,0.13006,0.97016,0.88564,1.0631
test,T-blend,tau_10-20m,<0.2%,124344,169,0.0011783,0.0013591,0.0009185,0.0018679,1.1534,0.77384,1.5897
test,T-blend,tau_10-20m,0.2-0.5%,166064,553,0.0033525,0.00333,0.0028203,0.003922,0.99331,0.84016,1.1699
test,T-blend,tau_10-20m,0.5-1%,145592,1013,0.0072276,0.0069578,0.0061925,0.0078228,0.96268,0.85714,1.0829
test,T-blend,tau_10-20m,1-2%,144152,1902,0.014387,0.013194,0.012129,0.014355,0.91709,0.84274,0.99842
test,T-blend,tau_10-20m,2-5%,163114,4698,0.031753,0.028802,0.027158,0.030648,0.90705,0.85545,0.96532
test,T-blend,tau_10-20m,5-10%,54456,3394,0.067193,0.062326,0.058454,0.066087,0.92756,0.86962,0.98341
test,T-blend,tau_10-20m,10-20%,12466,1682,0.13053,0.13493,0.12472,0.14591,1.0337,0.95659,1.1175
test,T-blend,tau_30-60m,<0.2%,62306,124,0.0013153,0.0019902,0.0013382,0.0027507,1.5131,1.0174,2.0875
test,T-blend,tau_30-60m,0.2-0.5%,144572,554,0.0034307,0.003832,0.0032228,0.0044326,1.117,0.94018,1.2929
test,T-blend,tau_30-60m,0.5-1%,151144,1100,0.0072578,0.0072778,0.0064622,0.0080937,1.0028,0.89019,1.1146
test,T-blend,tau_30-60m,1-2%,159272,2258,0.014429,0.014177,0.013138,0.015235,0.98255,0.91074,1.0557
test,T-blend,tau_30-60m,2-5%,193854,5987,0.032139,0.030884,0.029283,0.032527,0.96096,0.91077,1.0124
test,T-blend,tau_30-60m,5-10%,79204,5187,0.067709,0.065489,0.062303,0.068753,0.96721,0.91955,1.0163
test,T-blend,tau_30-60m,10-20%,19068,2677,0.12993,0.14039,0.13109,0.15014,1.0805,1.009,1.1564
test,MIX-blend,all,<0.2%,449156,654,0.0010019,0.0014561,0.0011827,0.0017594,1.4533,1.179,1.7626
test,MIX-blend,all,0.2-0.5%,433578,1546,0.0033555,0.0035657,0.003203,0.0039424,1.0626,0.95426,1.1748
test,MIX-blend,all,0.5-1%,398160,2696,0.0072533,0.0067711,0.006239,0.0073132,0.93353,0.86,1.0085
test,MIX-blend,all,1-2%,419834,5258,0.014437,0.012524,0.011797,0.013272,0.86749,0.81673,0.91905
test,MIX-blend,all,2-5%,498072,13464,0.031928,0.027032,0.025863,0.028306,0.84665,0.80997,0.88668
test,MIX-blend,all,5-10%,188836,11307,0.067534,0.059877,0.057249,0.062476,0.88663,0.84775,0.92509
test,MIX-blend,all,10-20%,42186,5531,0.12842,0.13111,0.12452,0.13883,1.0209,0.96965,1.0799
test,MIX-blend,up,<0.2%,224578,364,0.0010019,0.0016208,0.0012482,0.0020848,1.6178,1.2419,2.083
test,MIX-blend,up,0.2-0.5%,216789,794,0.0033555,0.0036625,0.0031364,0.0042716,1.0915,0.93461,1.2736
test,MIX-blend,up,0.5-1%,199080,1360,0.0072533,0.0068314,0.0060575,0.0076136,0.94184,0.83503,1.0497
test,MIX-blend,up,1-2%,209917,2611,0.014437,0.012438,0.011401,0.013577,0.86156,0.7897,0.94052
test,MIX-blend,up,2-5%,249036,6735,0.031928,0.027044,0.025422,0.028942,0.84703,0.79591,0.90666
test,MIX-blend,up,5-10%,94418,5444,0.067534,0.057658,0.053728,0.061775,0.85377,0.79554,0.91471
test,MIX-blend,up,10-20%,21093,2601,0.12842,0.12331,0.11212,0.13554,0.9602,0.87296,1.0556
test,MIX-blend,down,<0.2%,224578,290,0.0010019,0.0012913,0.0008969,0.0017583,1.2889,0.89482,1.7502
test,MIX-blend,down,0.2-0.5%,216789,752,0.0033555,0.0034688,0.002922,0.004047,1.0338,0.87116,1.2062
test,MIX-blend,down,0.5-1%,199080,1336,0.0072533,0.0067109,0.005862,0.0075924,0.92522,0.80839,1.0468
test,MIX-blend,down,1-2%,209917,2647,0.014437,0.01261,0.011516,0.013696,0.87343,0.7977,0.94897
test,MIX-blend,down,2-5%,249036,6729,0.031928,0.02702,0.025246,0.028793,0.84628,0.79022,0.90198
test,MIX-blend,down,5-10%,94418,5863,0.067534,0.062096,0.057967,0.066106,0.91948,0.85853,0.97901
test,MIX-blend,down,10-20%,21093,2930,0.12842,0.13891,0.12549,0.15216,1.0817,0.97717,1.1844
test,MIX-blend,tau_2-5m,<0.2%,218176,259,0.00092455,0.0011871,0.00085135,0.0015488,1.284,0.9229,1.6783
test,MIX-blend,tau_2-5m,0.2-0.5%,157464,488,0.0033174,0.0030991,0.0025802,0.0036533,0.93421,0.77786,1.1017
test,MIX-blend,tau_2-5m,0.5-1%,130860,813,0.0072277,0.0062127,0.0055328,0.0069185,0.85957,0.76618,0.95745
test,MIX-blend,tau_2-5m,1-2%,130580,1522,0.014387,0.011656,0.010667,0.012596,0.81017,0.74115,0.87557
test,MIX-blend,tau_2-5m,2-5%,130032,3224,0.031082,0.024794,0.023241,0.026301,0.79769,0.74821,0.84636
test,MIX-blend,tau_2-5m,5-10%,36416,2080,0.067123,0.057118,0.053327,0.061345,0.85094,0.79482,0.91315
test,MIX-blend,tau_2-5m,10-20%,6732,785,0.12199,0.11661,0.10676,0.12781,0.95586,0.87618,1.0482
test,MIX-blend,tau_10-20m,<0.2%,148994,223,0.0010241,0.0014967,0.0010655,0.0019884,1.4615,1.0366,1.9369
test,MIX-blend,tau_10-20m,0.2-0.5%,146174,526,0.0033491,0.0035985,0.0030472,0.0041986,1.0745,0.91005,1.2533
test,MIX-blend,tau_10-20m,0.5-1%,131982,911,0.0072502,0.0069025,0.0061077,0.0077512,0.95204,0.8419,1.0692
test,MIX-blend,tau_10-20m,1-2%,138226,1720,0.014433,0.012443,0.011428,0.013552,0.86216,0.79214,0.93895
test,MIX-blend,tau_10-20m,2-5%,168946,4566,0.032022,0.027026,0.025471,0.02881,0.844,0.79505,0.89953
test,MIX-blend,tau_10-20m,5-10%,62048,3649,0.067243,0.058809,0.055237,0.062267,0.87458,0.82176,0.92627
test,MIX-blend,tau_10-20m,10-20%,13812,1815,0.13009,0.13141,0.12156,0.14197,1.0101,0.93434,1.0908
test,MIX-blend,tau_30-60m,<0.2%,81986,172,0.0011674,0.0020979,0.0015094,0.0027255,1.7971,1.2864,2.3445
test,MIX-blend,tau_30-60m,0.2-0.5%,129940,532,0.0034089,0.0040942,0.0034611,0.0047628,1.201,1.0158,1.3977
test,MIX-blend,tau_30-60m,0.5-1%,135318,972,0.0072809,0.0071831,0.0063823,0.0079864,0.98656,0.87675,1.0972
test,MIX-blend,tau_30-60m,1-2%,151028,2016,0.014484,0.013349,0.012349,0.014399,0.9216,0.85275,0.99436
test,MIX-blend,tau_30-60m,2-5%,199094,5674,0.032402,0.028499,0.027008,0.030047,0.87956,0.8333,0.92783
test,MIX-blend,tau_30-60m,5-10%,90372,5578,0.067899,0.061723,0.058813,0.064843,0.90904,0.86542,0.95543
test,MIX-blend,tau_30-60m,10-20%,21642,2931,0.12936,0.13543,0.12676,0.14463,1.047,0.98061,1.1171
test,EMP-blend,all,<0.2%,345567,448,0.0011426,0.0012964,0.0010038,0.001648,1.1346,0.87954,1.444
test,EMP-blend,all,0.2-0.5%,493181,1568,0.0033853,0.0031794,0.0028393,0.0035411,0.93916,0.83849,1.0457
test,EMP-blend,all,0.5-1%,460766,3047,0.0072298,0.0066129,0.0060732,0.0071408,0.91468,0.84036,0.98767
test,EMP-blend,all,1-2%,453487,6053,0.014371,0.013348,0.012572,0.01417,0.92882,0.87471,0.98609
