period,model,param,tau_min,mean,min,max
test,blend_raw,w_10m,5,0.6288,0.4466,0.7727
test,blend_raw,w_10m,10,0.5925,0.4126,0.8199
test,blend_raw,w_10m,15,0.6446,0.5282,0.768
test,blend_raw,w_10m,20,0.5456,0.4222,0.6969
test,blend_raw,w_10m,30,0.6649,0.495,0.7719
test,blend_raw,w_10m,45,0.3318,0.1132,0.5435
test,blend_raw,w_10m,60,0.46,0.2436,0.674
test,blend_raw,w_1d,2,0.03169,0.02064,0.04222
test,blend_raw,w_1d,3,0.0261,0.007448,0.04087
test,blend_raw,w_1d,5,0.03635,0.02214,0.05094
test,blend_raw,w_1d,10,0.04037,0.006629,0.0508
test,blend_raw,w_1d,15,0.07907,0.03442,0.1403
test,blend_raw,w_1d,20,0.08231,0.05467,0.1296
test,blend_raw,w_1d,30,0.1001,0.04914,0.1568
test,blend_raw,w_1d,45,0.1234,0.04797,0.2029
test,blend_raw,w_1d,60,0.1356,0.07939,0.2261
test,blend_raw,w_2h,2,0.1261,0.08533,0.1908
test,blend_raw,w_2h,3,0.1166,0.06846,0.1761
test,blend_raw,w_2h,5,0.09524,0.02077,0.1638
test,blend_raw,w_2h,10,0.1134,0.007555,0.2155
test,blend_raw,w_2h,15,0.1136,0,0.2179
test,blend_raw,w_2h,20,0.09087,0,0.2217
test,blend_raw,w_2h,30,0.07561,0,0.1975
test,blend_raw,w_2h,45,0.1423,0,0.3028
test,blend_raw,w_2h,60,0.2779,0.1409,0.4441
test,blend_raw,w_30m,2,0,0,0
test,blend_raw,w_30m,3,0.009278,0,0.07299
test,blend_raw,w_30m,5,0.06384,0,0.2282
test,blend_raw,w_30m,10,0.1769,0,0.4174
test,blend_raw,w_30m,15,0.1206,0,0.2648
test,blend_raw,w_30m,20,0.23,0,0.4442
test,blend_raw,w_30m,30,0.3406,0.1865,0.5577
test,blend_raw,w_30m,45,0.5461,0.2935,0.7803
test,blend_raw,w_30m,60,0.3456,0.05373,0.6033
test,blend_raw,w_6h,2,0,0,0
test,blend_raw,w_6h,3,0.003373,0,0.0388
test,blend_raw,w_6h,5,0,0,0
test,blend_raw,w_6h,10,0.008031,0,0.07492
test,blend_raw,w_6h,15,0.001332,0,0.02172
test,blend_raw,w_6h,20,0.0004772,0,0.01002
test,blend_raw,w_6h,30,0,0,0
test,blend_raw,w_6h,45,0.005816,0,0.05064
test,blend_raw,w_6h,60,0,0,0
validation,EMP-blend,rms_u,2,1,1,1
validation,EMP-blend,rms_u,3,1,1,1
validation,EMP-blend,rms_u,5,1,1,1
validation,EMP-blend,rms_u,10,1,1,1
validation,EMP-blend,rms_u,15,1,1,1
validation,EMP-blend,rms_u,20,1,1,1
validation,EMP-blend,rms_u,30,1,1,1
validation,EMP-blend,rms_u,45,1,1,1
validation,EMP-blend,rms_u,60,1,1,1
validation,MIX-blend,c,2,0.9998,0.9976,1
validation,MIX-blend,c,3,0.9996,0.9953,1
validation,MIX-blend,c,5,0.9966,0.9726,1
validation,MIX-blend,c,10,0.9979,0.9746,1
validation,MIX-blend,c,15,1,1,1
validation,MIX-blend,c,20,0.9858,0.9498,1
validation,MIX-blend,c,30,0.997,0.9639,1
validation,MIX-blend,c,45,0.9856,0.9363,1
validation,MIX-blend,c,60,0.9731,0.9185,1
validation,MIX-blend,cv,2,0.4566,0.4322,0.5138
validation,MIX-blend,cv,3,0.426,0.3898,0.5051
validation,MIX-blend,cv,5,0.4223,0.3788,0.4838
validation,MIX-blend,cv,10,0.4291,0.3983,0.4542
validation,MIX-blend,cv,15,0.4419,0.408,0.4895
validation,MIX-blend,cv,20,0.4857,0.4328,0.5375
